"title",year_published,"composer-author","normalized_title","artist","title_artist","date","time","timestamp","cover-src"
"A Mighty Fortress/Angels We Have Heard On High",1529,"Martin Luther","A Mighty Fortress/Angels We Have Heard On High","Amy Grant","A Mighty Fortress/Angels We Have Heard On High_Amy Grant","2018-12-03","12:00:00","2018-12-03 12:00:00","https://i.iheart.com/v3/catalog/track/467706?ops=fit(100,100)"
"Joy To The World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Anne Murray","Joy To The World_Anne Murray","2018-12-03","05:57:00","2018-12-03 05:57:00","https://i.iheart.com/v3/catalog/track/474325?ops=fit(100,100)"
"Joy To The World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Anne Murray","Joy To The World_Anne Murray","2018-12-02","21:07:00","2018-12-02 21:07:00","https://i.iheart.com/v3/catalog/track/474325?ops=fit(100,100)"
"Joy To The World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Anne Murray","Joy To The World_Anne Murray","2018-11-30","23:35:00","2018-11-30 23:35:00","https://i.iheart.com/v3/catalog/track/474325?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-05","08:43:00","2018-12-05 08:43:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-04","10:20:00","2018-12-04 10:20:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-04","06:09:00","2018-12-04 06:09:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-03","09:53:00","2018-12-03 09:53:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-03","01:09:00","2018-12-03 01:09:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-01","17:25:00","2018-12-01 17:25:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy to the World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Percy Faith & His Orchestra & Chorus","Joy to the World_Percy Faith & His Orchestra & Chorus","2018-12-01","11:02:00","2018-12-01 11:02:00","https://i.iheart.com/v3/catalog/track/4019044?ops=fit(100,100)"
"Joy To The World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Train","Joy To The World_Train","2018-12-05","04:31:00","2018-12-05 04:31:00","https://i.iheart.com/v3/catalog/track/19567928?ops=fit(100,100)"
"Joy To The World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Train","Joy To The World_Train","2018-12-04","04:58:00","2018-12-04 04:58:00","https://i.iheart.com/v3/catalog/track/19567928?ops=fit(100,100)"
"Joy To The World",1719,"Isaac Watts, George Frideric Handel","Joy to the World","Train","Joy To The World_Train","2018-12-04","00:17:00","2018-12-04 00:17:00","https://i.iheart.com/v3/catalog/track/19567928?ops=fit(100,100)"
